original_english	augmented_spanglish	original_spanish
This partially explains why SARS-CoV-2 spread much faster and broader than SARS-CoV.	This partially explains why SARS-CoV-2 spread much faster and broader than SARS-CoV.	Esto explica, en parte, por qué el SARS-CoV-2 se propagó de forma mucho más rápida y generalizada que el SARS-CoV.
The regular RNA assay for SARS-CoV-2 can be negative in some COVID-19 patients.	las regularidad arn assay para SARS-CoV-2 puedo be negativas in some COVID-19 patients.	La prueba regular de ARN para el SARS-CoV-2 puede dar negativo en algunos pacientes con COVID-19.
On the other hand, cured patients can be positive for the virus again.	On las otras hand, curada pacientes puedo be positivas para el virus again.	Por otro lado, los pacientes curados pueden dar positivo en el virus nuevamente.
These findings dramatically increase the risk of virus spreading.	These findings dramatically increase the risk of virus spreading.	Estos resultados aumentan drásticamente el riesgo de que se propague el virus.
Given such rapid progress in research on COVID-19, several critical issues remain to be solved, as follows:	dado tal rapid progress in investigacion on COVID-19, varias crítico asuntos permanece to be solved, as follows:	Dados los avances tan rápidos en la investigación de la COVID-19, restan por resolverse varias cuestiones importantes, como las siguientes:
Where did SARS-CoV-2 come from?	donde hizo SARS-CoV-2 vente from?	¿De dónde salió el SARS-CoV-2?
Although 96% genetic homolog was found between SARS-CoV-2 and two bat SARS-like CoVs, we still cannot conclude that SARS-CoV-2 is from bats.	aunque 96% genéticas homolog era encontrados entre SARS-CoV-2 y two bat SARS-like CoVs, we still cannot concluir eso SARS-CoV-2 is de bats.	Aunque se encontró un 96 % de homología genética entre el SARS-CoV-2 y dos coronavirus de murciélagos similares al SARS, aún no es posible concluir que el SARS-CoV-2 proviene de los murciélagos.
What animal was the intermediate species to transmit the virus from the original host, say bats, to humans?	What animal was the intermediate species to transmit the virus from the original host, say bats, to humans?	¿Qué animal fue la especie intermedia que transmitió el virus del huésped original, digamos, los murciélagos, a los humanos?
Without knowing answers to #1 and 2, we cannot efficiently cut the transmission, and the outbreak can relapse at any time.	Without knowing answers to #1 and 2, we cannot efficiently cut the transmission, and the outbreak can relapse at any time.	Sin saber las respuestas a la número 1 y 2, no es posible frenar la transmisión de forma eficiente, y el brote puede resurgir en cualquier momento.
Although molecular modeling and biochemical assays have demonstrated that SARS-CoV-2 binds to ACE2, how exactly does the virus enter the airway cells and cause subsequent pathological changes?	aunque moleculares modelado y bioquímica assays tener demostradas que SARS-CoV-2 binds to ACE2, cómo exacto hace la virus entra las airways celdas y cause subsiguientes patológico changes?	Aunque el modelado molecular y las pruebas bioquímicas han demostrado que el SARS-CoV-2 se une a la ACE2, ¿de qué manera exactamente el virus entra a las células de las vías respiratorias y causa cambios patológicos posteriores?
Does the virus also bind ACE2-expressing cells in other organs?	hace la virus igualmente obligar ACE2-expressing células in otro organs?	¿El virus también se une a las células que expresan la ACE2 en otros órganos?
Without clear answers to these questions, we cannot achieve fast and accurate diagnosis and effective treatment.	sin despejado respuestas to estas questions, we cannot lograr rapidez y exacto diagnóstico y eficaz treatment.	Sin respuestas claras a estas preguntas, no es posible lograr un diagnóstico rápido y preciso y un tratamiento eficaz.
How long will the epidemic last?	cómo largo testamento los epidemias last?	¿Cuánto durará la epidemia?
How is the virus genetically evolving during transmission among humans?	How is the virus genetically evolving during transmission among humans?	¿Cómo evoluciona el virus genéticamente mientras se transmite entre humanos?
Will it become a pandemic worldwide, die down like SARS or relapse periodically like the flu?	testamento it convertirse a pandemia worldwide, die down gustar sars or recaer periódicamente like los flu?	¿Se convertirá en una pandemia mundial, se extinguirá como el SARS o resurgirá periódicamente como la gripe?
It is essential but may take some time to search for answers to the above and many other questions.	It is essential but may take some time to search for answers to the above and many other questions.	Aunque puede llevar algún tiempo, es esencial buscar respuestas a estas preguntas y a muchas otras.
However, with whatever expense it may demand, we have no other choice but to stop the epidemic as soon as possible and bring our life back to normal.	However, with whatever expense it may demand, we have no other choice but to stop the epidemic as soon as possible and bring our life back to normal.	Sin embargo, cueste lo que cueste, no tenemos más opción que detener la epidemia lo antes posible y volver a nuestra vida normal.
Zoonotic origins of human coronaviruses	Zoonotic origins of human coronaviruses	Orígenes zoonóticos de los coronavirus de humanos
Mutation and adaptation have driven the co-evolution of coronaviruses (CoVs) and their hosts, including human beings, for thousands of years.	Mutation and adaptation have driven the co-evolution of coronaviruses (CoVs) and their hosts, including human beings, for thousands of years.	La mutación y la adaptación han impulsado la coevolución de los coronavirus y sus huéspedes, incluidos los seres humanos, por miles de años.
Before 2003, two human CoVs (HCoVs) were known to cause mild illness, such as common cold.	antes 2003, dos humanos CoVs (HCoVs) fueron conocida to cause leve illness, tales as frecuentes cold.	Hasta 2003, se sabía que dos coronavirus de humanos causaban enfermedades leves, como el resfriado común.
