original_english	augmented_chinglish	original_chinese
"The proclamation specifically said ""the COVID-19 outbreak in the United States constitutes a national emergency"" and said the national emergency began on March 1, almost two weeks before the proclamation itself."	"The 宣告 具體地說 said ""the COVID-19 暴發 in the United 國家 constitutes a 國家 emergency"" 而且 said the national emergency began on 三月 1, 幾乎 兩個 星期 以前 the 公告 itself."	公告特别指出“美国爆发COVID-19导致了国家紧急状态”，并表示国家紧急状态已于3月1日开始，比公告本身早两周。
"The United States Department of Health and Human Services declared the outbreak a ""public health emergency"" on January 31."	"The United States Department of Health and Human Services declared the outbreak a ""public health emergency"" on January 31."	1月31日，美国卫生与公共服务部宣布此次爆发为“公共卫生紧急事件”。
Trump did not place the Federal Emergency Management Agency (FEMA) in charge of the government's response to COVID-19, which Politico reported left some experts in disaster management disappointed.	trump did not 地點 the 聯邦 Emergency 管理 代理商 (FEMA) in 電荷 of the government's 答復 to COVID-19, which Politico reported 左邊 有些 專家 in 災難 管理 disappointed.	特朗普并没有让联邦应急管理局(FEMA)来负责政府对COVID-19的应对工作，据Politico报道，这让部分灾难管理专家感到失望。
"Politico quoted Tim Manning, formerly a deputy administrator at FEMA, as saying ""FEMA has an important role in coordinating the larger response to the crisis"" and ""[i]f there's an emergency, FEMA needs to be involved."""	"Politico quoted Tim Manning, formerly a deputy administrator at FEMA, as saying ""FEMA has an important role in coordinating the larger response to the crisis"" and ""[i]f there's an emergency, FEMA needs to be involved."""	Politico援引FEMA前副局长Tim Manning的话表示，“FEMA在协调更大的危机应对行动方面发挥着重要作用”，“[如﻿ 出现紧急情况，FEMA需要介入。”
Trump made the decision under provisions of the National Emergencies Act, amongst other governing authorities.	trump made the 決定 under provisions of the 國家 Emergencies Act, amongst 其他 governing authorities.	特朗普是根据《国家紧急状态法案》以及其他监管机构的规定做出这一决定的。
The Trump administration also announced other efforts in response to COVID-19, including waiving the interest it collects on federal student loans and increasing U.S. strategic oil reserve oil purchases.	The Trump administration also announced other efforts in response to COVID-19, including waiving the interest it collects on federal student loans and increasing U.S. strategic oil reserve oil purchases.	特朗普政府还宣布了应对COVID-19的其他举措，包括免除联邦学生贷款的利息以及增加购买美国战略石油储备油。
World Health Organization declares COVID-19 pandemic	World Health Organization declares COVID-19 pandemic	世界卫生组织宣布COVID-19为大流行
On Wednesday, the World Health Organization (WHO) declared the ongoing outbreak of COVID-19 — the disease caused by coronavirus SARS-CoV-2 — to be a pandemic.	On Wednesday, the 世界 健康 組織 (WHO) declared the ongoing 爆發 of COVID-19 — the 疾病 caused by coronavirus SARS-CoV-2 — to be a pandemic.	星期三，世界卫生组织(WHO)宣布，持续爆发的COVID-19（由冠状病毒SARS-CoV-2引发的疾病）为大流行。
"Although the word ""pandemic"" only refers to how widely a disease has spread, not how dangerous specific cases are, the WHO noted the need to drive governments to action:"	"雖然 the 詞 ""pandemic"" 只有 refers to 如何 widely a 病 has spread, not 如何 危險 具體 案例 are, the 誰 noted the 需求 to 開車 政府 to action:"	尽管“大流行”一词仅指疾病的扩散程度，而并非特定病例的危险程度，但WHO指出需要敦促政府采取措施：
"""All countries can still change the course of this pandemic."	"""All countries can still change the course of this pandemic."	“所有国家/地区仍然可以改变本次大流行的进程。
"If countries detect, test, treat, isolate, trace and mobilize their people in the response,"" said Tedros Adhanom Ghebreyesus, the Director-General of the WHO."	"If countries detect, test, treat, isolate, trace and mobilize their people in the response,"" said Tedros Adhanom Ghebreyesus, the Director-General of the WHO."	如果各个国家/地区对其人民进行检测、测试、治疗、隔离、追踪和动员作为应对措施，”WHO总干事Tedros Adhanom Ghebreyesus说道。
"""We are deeply concerned both by the alarming levels of spread and severity and by the alarming levels of inaction."""	"""We are deeply concerned both by the alarming 關卡 of 散播 還有 severity 而且 by the alarming 關卡 of inaction."""	“我们对于扩散和严重性的惊人程度以及不作为的惊人程度深感担忧。”
"According to Dr. Tom Frieden, formerly the director of the United States' Centers for Disease Control and Prevention, the pandemic is ""unprecedented."""	"According to Dr. tom Frieden, formerly the 主任 of the United States' 中心 for 病 控制 而且 Prevention, the 流行病 is ""unprecedented."""	据美国疾病控制与预防中心前主任Tom Frieden博士所说，这次大流行是“空前的”。
"He said, in remarks published by CNN in February, ""other than influenza, no other respiratory virus has been tracked from emergence to continuous global spread."""	"He said, in remarks 發表 by cnn in February, ""other than influenza, no 其他 respiratory 病毒 has been tracked 從 湧現 to 連續 全球 spread."""	他于2月在CNN发表评论说，“除了流感之外，还没有发现哪种呼吸道病毒在出现以后持续扩散到全球。”
"Ghebreyesus expressed a similar view, saying ""we have never before seen a pandemic sparked by a coronavirus."""	"Ghebreyesus expressed a similar view, saying ""we have never before seen a pandemic sparked by a coronavirus."""	Ghebreyesus表达了类似的观点，并且说“我们以前从未见过冠状病毒引发的大流行。”
"He continued, ""and we have never before seen a pandemic that can be controlled at the same time."""	"He continued, ""and we have never before seen a pandemic that can be controlled at the same time."""	他继续说道，“同样，我们以前也从未见过可以控制的病毒大流行。”
The new status as a pandemic follows the WHO's decision in January to declare the outbreak a public health emergency of international concern.	The new status as a pandemic follows the WHO's decision in January to declare the outbreak a public health emergency of international concern.	进入大流行的新状态之前，WHO在1月确定此次爆发为国际关注的突发公共卫生事件。
"The United States' National Institute of Allergy and Infectious Disease's director, Dr. Anthony Fauci, said of the outbreak, ""bottom line, it's going to get worse."""	"The United States' 國家 研究所 of 過敏 和 傳染性 Disease's director, Dr. anthony Fauci, said of the outbreak, ""bottom line, it's going to 得到 worse."""	美国国家过敏症和传染病研究所主任Anthony Fauci博士说到此次爆发，“最重要的是，它仍在恶化。”
As of Thursday, Associated Press reported there were at least 126,000 cases of COVID-19 worldwide, resulting in over 4,600 deaths.	As of Thursday, Associated Press reported there were at least 126,000 案例 of COVID-19 worldwide, resulting in over 4,600 deaths.	截止到星期四，美联社报道全球的COVID-19病例至少为126000例，导致4600多人死亡。
The 2019–20 coronavirus pandemic is an ongoing pandemic of coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).	The 2019–20 coronavirus pandemic is an ongoing pandemic of coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).	2019-2020 冠状病毒疫情是持续蔓延的 2019 新型冠状病毒疾病 (COVID-19)，由严重急性呼吸综合征冠状病毒 2 型 (SARS-CoV-2) 引起。
The outbreak was identified in Wuhan, China, in December 2019, declared to be a Public Health Emergency of International Concern on 30 January 2020, and recognized as a pandemic on 11 March 2020.	The outbreak was identified in Wuhan, China, in December 2019, declared to be a Public Health Emergency of International Concern on 30 January 2020, and recognized as a pandemic on 11 March 2020.	本次爆发于 2019 年 12 月在中国武汉确认，2020 年 1 月 30 日被列为国际关注的公共卫生突发事件，2020 年 3 月 11 日被认定为流行病。
